lead_id,source,clicks,time_spent,email_opened,converted
130,LinkedIn,3,7,1,0
131,Google,13,8,1,1
132,Google,13,1,0,0
133,Facebook,18,9,0,0
134,LinkedIn,8,7,0,0
135,LinkedIn,9,3,0,0
136,Facebook,7,8,1,0
137,LinkedIn,1,7,1,0
138,LinkedIn,3,8,0,0
139,Google,13,6,1,1
140,LinkedIn,17,9,0,0
141,LinkedIn,1,5,1,0
142,Facebook,6,3,0,0
143,Facebook,6,3,1,0
144,Google,12,1,0,0
145,LinkedIn,13,8,0,0
146,LinkedIn,13,2,1,0
147,LinkedIn,15,3,0,0
148,Google,16,8,1,1
149,Google,11,8,1,1
150,Facebook,5,4,0,0
151,Google,4,4,1,0
152,LinkedIn,3,5,1,0
153,LinkedIn,19,6,1,1
154,Google,18,5,1,0
155,LinkedIn,15,7,1,1
156,LinkedIn,9,2,0,0
157,Google,17,7,1,1
158,Google,14,7,1,1
159,LinkedIn,15,1,1,0
160,LinkedIn,1,7,1,0
161,LinkedIn,3,5,1,0
162,Facebook,16,3,0,0
163,Facebook,11,3,1,0
164,Facebook,12,4,0,0
165,Google,10,2,0,0
166,Facebook,16,2,0,0
167,Google,8,1,0,0
168,Google,6,5,1,0
169,Facebook,12,4,0,0
170,Facebook,8,2,0,0
171,Facebook,4,3,1,0
172,LinkedIn,8,7,1,0
173,Facebook,18,7,1,1
174,LinkedIn,5,4,0,0
175,Google,9,5,1,0
176,LinkedIn,4,5,1,0
177,Facebook,17,6,0,0
178,Google,9,9,1,0
179,Google,1,2,1,0
180,Google,13,5,1,0
181,LinkedIn,16,3,1,0
182,Facebook,13,4,0,0
183,Google,14,6,1,1
184,Google,3,8,1,0
185,Google,6,1,0,0
186,LinkedIn,18,8,1,1
187,LinkedIn,19,7,0,0
188,Facebook,5,1,1,0
189,LinkedIn,15,2,0,0
190,Google,2,3,0,0
191,Facebook,10,1,0,0
192,Google,18,9,0,0
193,Google,13,8,1,1
194,LinkedIn,5,2,0,0
195,Facebook,1,9,1,0
196,LinkedIn,1,7,0,0
197,LinkedIn,18,9,0,0
198,Facebook,15,6,0,0
199,Google,17,6,1,1
200,Google,11,4,0,0
201,Facebook,17,2,1,0
202,Google,13,7,1,1
203,Facebook,1,5,1,0
204,Facebook,2,6,1,0
205,LinkedIn,9,2,1,0
206,Facebook,3,5,1,0
207,LinkedIn,1,4,1,0
208,Google,16,9,1,1
209,Google,6,6,1,0
210,Google,17,2,0,0
211,Google,5,1,0,0
212,LinkedIn,5,5,0,0
213,Google,6,9,0,0
214,Facebook,3,6,0,0
215,Facebook,5,7,1,0
216,Facebook,5,5,1,0
217,LinkedIn,10,6,1,0
218,Google,10,5,1,0
219,Google,19,9,1,1
220,Google,17,6,1,1
221,LinkedIn,14,8,1,1
222,Facebook,9,2,0,0
223,Facebook,14,9,0,0
224,Google,1,5,0,0
225,Facebook,19,7,0,0
226,Facebook,13,1,1,0
227,LinkedIn,13,5,1,0
228,LinkedIn,4,2,1,0
229,LinkedIn,1,6,0,0
230,LinkedIn,17,1,1,0
231,Google,8,3,1,0
232,LinkedIn,2,5,1,0
233,Facebook,8,4,0,0
234,Google,7,3,1,0
235,Facebook,2,5,0,0
236,Facebook,3,8,0,0
237,Facebook,18,4,0,0
238,LinkedIn,12,1,0,0
239,LinkedIn,1,7,1,0
240,Google,12,8,0,0
241,Google,5,3,0,0
242,LinkedIn,17,6,1,1
243,Facebook,16,2,1,0
244,Google,15,7,0,0
245,LinkedIn,15,8,1,1
246,LinkedIn,5,6,0,0
247,LinkedIn,14,6,0,0
248,Facebook,2,5,0,0
249,LinkedIn,11,8,0,0
250,LinkedIn,19,1,1,0
251,LinkedIn,7,4,0,0
252,LinkedIn,6,4,1,0
253,Google,2,3,1,0
254,Google,6,3,1,0
255,LinkedIn,18,4,1,0
256,Facebook,2,1,0,0
257,Google,18,2,1,0
258,LinkedIn,15,9,0,0
259,Google,19,2,1,0
260,Google,2,5,1,0
261,Facebook,6,9,0,0
262,LinkedIn,1,9,0,0
263,LinkedIn,15,8,0,0
264,Facebook,10,1,1,0
265,Facebook,19,1,1,0
266,LinkedIn,17,9,0,0
267,LinkedIn,5,8,0,0
268,Facebook,4,9,0,0
269,Google,10,7,0,0
270,Google,17,3,1,0
271,Facebook,10,3,0,0
272,Google,17,2,0,0
273,Facebook,5,5,0,0
274,Google,2,3,0,0
275,Google,6,6,1,0
276,LinkedIn,2,2,0,0
277,LinkedIn,13,3,1,0
278,Google,11,5,0,0
279,Google,11,1,0,0
280,LinkedIn,16,1,1,0
281,LinkedIn,11,9,0,0
282,LinkedIn,19,7,1,1
283,Facebook,15,1,1,0
284,Google,16,8,0,0
285,LinkedIn,11,3,1,0
286,Google,16,8,1,1
287,Facebook,8,5,1,0
288,Facebook,4,1,1,0
289,LinkedIn,8,7,1,0
290,Facebook,4,5,1,0
291,Google,3,6,1,0
292,LinkedIn,3,6,1,0
293,Google,18,8,0,0
294,Google,19,9,0,0
295,Facebook,19,2,1,0
296,Facebook,5,9,0,0
297,Facebook,18,9,1,1
298,Facebook,10,7,1,0
299,Facebook,6,1,0,0
300,LinkedIn,1,7,1,0
301,Google,5,5,1,0
302,Google,9,6,1,0
303,Google,12,7,1,1
304,Google,14,5,0,0
305,Facebook,2,7,1,0
306,Google,17,9,1,1
307,LinkedIn,14,3,1,0
308,LinkedIn,13,8,0,0
309,Google,9,2,1,0
310,Google,15,7,0,0
311,LinkedIn,15,2,0,0
312,LinkedIn,11,4,1,0
313,Facebook,16,7,1,1
314,LinkedIn,17,3,0,0
315,Facebook,4,2,1,0
316,Facebook,1,7,0,0
317,Facebook,8,1,0,0
318,Facebook,17,8,1,1
319,Facebook,3,3,1,0
320,Google,15,2,0,0
321,LinkedIn,15,3,0,0
322,Facebook,14,5,0,0
323,LinkedIn,14,8,0,0
324,LinkedIn,2,7,1,0
325,Facebook,13,7,1,1
326,Google,14,7,1,1
327,Facebook,19,8,1,1
328,Google,7,1,1,0
329,LinkedIn,3,4,0,0
330,Google,15,6,1,1
331,Google,14,9,1,1
332,Google,11,2,1,0
333,LinkedIn,15,1,1,0
334,LinkedIn,13,2,1,0
335,Google,18,7,0,0
336,Google,6,3,0,0
337,Facebook,3,2,0,0
338,Google,19,7,1,1
339,Facebook,15,2,0,0
340,Google,5,3,0,0
341,Facebook,10,7,1,0
342,LinkedIn,7,4,1,0
343,Google,17,1,1,0
344,Google,7,5,0,0
345,Google,12,9,0,0
346,Google,17,8,1,1
347,Facebook,13,9,1,1
348,Google,4,9,0,0
349,LinkedIn,10,7,0,0
350,LinkedIn,3,4,1,0
351,Google,9,5,1,0
352,LinkedIn,13,1,0,0
353,Google,18,1,1,0
354,Google,15,3,0,0
355,LinkedIn,4,8,0,0
356,Google,15,2,0,0
357,LinkedIn,2,4,0,0
358,Facebook,15,2,1,0
359,Google,8,5,1,0
360,Facebook,8,9,0,0
361,LinkedIn,17,1,0,0
362,Facebook,12,5,0,0
363,Facebook,19,9,0,0
364,LinkedIn,10,1,0,0
365,Facebook,9,9,1,0
366,Facebook,5,8,1,0
367,LinkedIn,6,4,1,0
368,Facebook,2,5,1,0
369,LinkedIn,13,5,0,0
370,Facebook,6,6,0,0
371,LinkedIn,5,7,0,0
372,LinkedIn,1,8,0,0
373,Facebook,6,8,0,0
374,Facebook,6,2,1,0
375,Facebook,16,9,0,0
376,Google,4,7,1,0
377,Google,11,4,1,0
378,Google,9,4,1,0
379,LinkedIn,3,8,1,0
380,Facebook,19,4,0,0
381,LinkedIn,8,6,1,0
382,Google,5,5,1,0
383,Facebook,4,3,1,0
384,LinkedIn,6,2,0,0
385,Facebook,2,9,0,0
386,LinkedIn,11,9,0,0
387,Facebook,4,1,1,0
388,Google,15,3,1,0
389,Google,6,8,0,0
390,Facebook,17,6,1,1
391,LinkedIn,6,5,0,0
392,Google,19,5,0,0
393,Google,2,6,1,0
394,Google,15,7,1,1
395,Facebook,11,1,1,0
396,Facebook,8,9,1,0
397,LinkedIn,19,3,0,0
398,LinkedIn,13,4,0,0
399,LinkedIn,12,1,0,0
400,Facebook,5,3,0,0
401,Facebook,6,2,0,0
402,LinkedIn,4,2,1,0
403,LinkedIn,19,1,0,0
404,Facebook,1,8,0,0
405,LinkedIn,17,3,0,0
406,Google,12,3,1,0
407,Facebook,15,6,1,1
408,LinkedIn,1,8,1,0
409,Facebook,14,9,1,1
410,Google,6,9,0,0
411,Facebook,5,4,0,0
412,Facebook,11,5,1,0
413,Facebook,4,2,1,0
414,Facebook,13,9,0,0
415,Google,11,8,0,0
416,Facebook,3,3,1,0
417,Facebook,1,9,1,0
418,LinkedIn,6,3,1,0
419,Facebook,18,9,1,1
420,LinkedIn,10,2,0,0
421,Google,5,9,0,0
422,Google,10,8,0,0
423,Google,12,9,1,1
424,Google,2,5,1,0
425,LinkedIn,13,2,0,0
426,Facebook,8,8,0,0
427,Google,2,6,0,0
428,Facebook,1,8,0,0
429,LinkedIn,5,5,1,0
430,LinkedIn,9,2,0,0
431,LinkedIn,17,6,0,0
432,Google,9,5,0,0
433,Facebook,11,5,0,0
434,Facebook,15,1,0,0
435,Facebook,6,2,0,0
436,LinkedIn,3,8,0,0
437,Google,17,3,1,0
438,LinkedIn,5,3,1,0
439,LinkedIn,12,8,1,1
440,Facebook,18,8,1,1
441,LinkedIn,14,2,0,0
442,Facebook,11,8,1,1
443,Google,9,1,1,0
444,Facebook,2,6,0,0
445,Google,12,8,0,0
446,Facebook,3,3,1,0
447,LinkedIn,3,8,1,0
448,LinkedIn,1,1,0,0
449,Google,8,9,1,0
450,Google,8,9,0,0
451,Google,11,5,0,0
452,Facebook,9,4,0,0
453,Facebook,5,6,0,0
454,Google,14,7,1,1
455,LinkedIn,3,5,0,0
456,Facebook,5,9,0,0
457,Facebook,5,3,1,0
458,Facebook,19,7,0,0
459,Google,14,5,1,0
460,Google,4,7,1,0
461,Google,13,2,1,0
462,Google,10,4,0,0
463,Google,18,2,1,0
464,LinkedIn,8,7,1,0
465,LinkedIn,8,2,0,0
466,Google,7,1,1,0
467,Facebook,8,9,1,0
468,Google,14,1,1,0
469,LinkedIn,19,8,1,1
470,LinkedIn,6,2,1,0
471,Facebook,1,8,0,0
472,LinkedIn,15,3,1,0
473,Google,1,6,1,0
474,Facebook,17,3,0,0
475,Google,1,7,0,0
476,Google,15,9,0,0
477,Facebook,2,2,1,0
478,Google,14,5,0,0
479,LinkedIn,8,6,1,0
480,Google,8,4,1,0
481,Facebook,19,4,0,0
482,Facebook,7,4,0,0
483,Facebook,19,2,1,0
484,Google,6,4,0,0
485,Facebook,6,1,1,0
486,Facebook,3,6,0,0
487,Google,7,1,0,0
488,LinkedIn,19,6,0,0
489,Google,8,1,1,0
490,Facebook,10,6,0,0
491,Facebook,15,8,1,1
492,Google,15,2,1,0
493,LinkedIn,1,2,1,0
494,Facebook,7,4,1,0
495,Facebook,4,3,0,0
496,Facebook,6,4,1,0
497,Google,1,7,1,0
498,Facebook,5,1,0,0
499,LinkedIn,1,6,1,0
